_id,Disease,Year,PROVINCE,Week_no,Count
1,Hand Foot Mouth,2013,Bangkok,1,62.0
2,Hand Foot Mouth,2013,Bangkok,2,95.0
3,Hand Foot Mouth,2013,Bangkok,3,88.0
4,Hand Foot Mouth,2013,Bangkok,4,86.0
5,Hand Foot Mouth,2013,Bangkok,5,132.0
6,Hand Foot Mouth,2013,Bangkok,6,128.0
7,Hand Foot Mouth,2013,Bangkok,7,111.0
8,Hand Foot Mouth,2013,Bangkok,8,94.0
9,Hand Foot Mouth,2013,Bangkok,9,80.0
10,Hand Foot Mouth,2013,Bangkok,10,69.0
11,Hand Foot Mouth,2013,Bangkok,11,57.0
12,Hand Foot Mouth,2013,Bangkok,12,43.0
13,Hand Foot Mouth,2013,Bangkok,13,57.0
14,Hand Foot Mouth,2013,Bangkok,14,45.0
15,Hand Foot Mouth,2013,Bangkok,15,31.0
16,Hand Foot Mouth,2013,Bangkok,16,26.0
17,Hand Foot Mouth,2013,Bangkok,17,21.0
18,Hand Foot Mouth,2013,Bangkok,18,27.0
19,Hand Foot Mouth,2013,Bangkok,19,19.0
20,Hand Foot Mouth,2013,Bangkok,20,21.0
21,Hand Foot Mouth,2013,Bangkok,21,18.0
22,Hand Foot Mouth,2013,Bangkok,22,32.0
23,Hand Foot Mouth,2013,Bangkok,23,45.0
24,Hand Foot Mouth,2013,Bangkok,24,80.0
25,Hand Foot Mouth,2013,Bangkok,25,121.0
26,Hand Foot Mouth,2013,Bangkok,26,183.0
27,Hand Foot Mouth,2013,Bangkok,27,208.0
28,Hand Foot Mouth,2013,Bangkok,28,168.0
29,Hand Foot Mouth,2013,Bangkok,29,173.0
30,Hand Foot Mouth,2013,Bangkok,30,143.0
31,Hand Foot Mouth,2013,Bangkok,31,112.0
32,Hand Foot Mouth,2013,Bangkok,32,112.0
33,Hand Foot Mouth,2013,Bangkok,33,114.0
34,Hand Foot Mouth,2013,Bangkok,34,102.0
35,Hand Foot Mouth,2013,Bangkok,35,101.0
36,Hand Foot Mouth,2013,Bangkok,36,107.0
37,Hand Foot Mouth,2013,Bangkok,37,105.0
38,Hand Foot Mouth,2013,Bangkok,38,125.0
39,Hand Foot Mouth,2013,Bangkok,39,123.0
40,Hand Foot Mouth,2013,Bangkok,40,119.0
41,Hand Foot Mouth,2013,Bangkok,41,128.0
42,Hand Foot Mouth,2013,Bangkok,42,56.0
43,Hand Foot Mouth,2013,Bangkok,43,71.0
44,Hand Foot Mouth,2013,Bangkok,44,64.0
45,Hand Foot Mouth,2013,Bangkok,45,78.0
46,Hand Foot Mouth,2013,Bangkok,46,49.0
47,Hand Foot Mouth,2013,Bangkok,47,72.0
48,Hand Foot Mouth,2013,Bangkok,48,105.0
49,Hand Foot Mouth,2013,Bangkok,49,79.0
50,Hand Foot Mouth,2013,Bangkok,50,57.0
51,Hand Foot Mouth,2013,Bangkok,51,89.0
52,Hand Foot Mouth,2013,Bangkok,52,45.0
53,Hand Foot Mouth,2013,Bangkok,53,45.0
54,Hand Foot Mouth,2013,Samut Prakan,1,9.0
55,Hand Foot Mouth,2013,Samut Prakan,2,12.0
56,Hand Foot Mouth,2013,Samut Prakan,3,18.0
57,Hand Foot Mouth,2013,Samut Prakan,4,12.0
58,Hand Foot Mouth,2013,Samut Prakan,5,6.0
59,Hand Foot Mouth,2013,Samut Prakan,6,17.0
60,Hand Foot Mouth,2013,Samut Prakan,7,20.0
61,Hand Foot Mouth,2013,Samut Prakan,8,15.0
62,Hand Foot Mouth,2013,Samut Prakan,9,21.0
63,Hand Foot Mouth,2013,Samut Prakan,10,7.0
64,Hand Foot Mouth,2013,Samut Prakan,11,4.0
65,Hand Foot Mouth,2013,Samut Prakan,12,6.0
66,Hand Foot Mouth,2013,Samut Prakan,13,9.0
67,Hand Foot Mouth,2013,Samut Prakan,14,8.0
68,Hand Foot Mouth,2013,Samut Prakan,15,8.0
69,Hand Foot Mouth,2013,Samut Prakan,16,7.0
70,Hand Foot Mouth,2013,Samut Prakan,17,4.0
71,Hand Foot Mouth,2013,Samut Prakan,18,2.0
72,Hand Foot Mouth,2013,Samut Prakan,19,5.0
73,Hand Foot Mouth,2013,Samut Prakan,20,9.0
74,Hand Foot Mouth,2013,Samut Prakan,21,4.0
75,Hand Foot Mouth,2013,Samut Prakan,22,12.0
76,Hand Foot Mouth,2013,Samut Prakan,23,13.0
77,Hand Foot Mouth,2013,Samut Prakan,24,12.0
78,Hand Foot Mouth,2013,Samut Prakan,25,25.0
79,Hand Foot Mouth,2013,Samut Prakan,26,43.0
80,Hand Foot Mouth,2013,Samut Prakan,27,34.0
81,Hand Foot Mouth,2013,Samut Prakan,28,16.0
82,Hand Foot Mouth,2013,Samut Prakan,29,26.0
83,Hand Foot Mouth,2013,Samut Prakan,30,5.0
84,Hand Foot Mouth,2013,Samut Prakan,31,18.0
85,Hand Foot Mouth,2013,Samut Prakan,32,29.0
86,Hand Foot Mouth,2013,Samut Prakan,33,23.0
87,Hand Foot Mouth,2013,Samut Prakan,34,28.0
88,Hand Foot Mouth,2013,Samut Prakan,35,11.0
89,Hand Foot Mouth,2013,Samut Prakan,36,23.0
90,Hand Foot Mouth,2013,Samut Prakan,37,25.0
91,Hand Foot Mouth,2013,Samut Prakan,38,25.0
92,Hand Foot Mouth,2013,Samut Prakan,39,16.0
93,Hand Foot Mouth,2013,Samut Prakan,40,16.0
94,Hand Foot Mouth,2013,Samut Prakan,41,12.0
95,Hand Foot Mouth,2013,Samut Prakan,42,20.0
96,Hand Foot Mouth,2013,Samut Prakan,43,9.0
97,Hand Foot Mouth,2013,Samut Prakan,44,6.0
98,Hand Foot Mouth,2013,Samut Prakan,45,14.0
99,Hand Foot Mouth,2013,Samut Prakan,46,11.0
100,Hand Foot Mouth,2013,Samut Prakan,47,8.0
101,Hand Foot Mouth,2013,Samut Prakan,48,14.0
102,Hand Foot Mouth,2013,Samut Prakan,49,15.0
103,Hand Foot Mouth,2013,Samut Prakan,50,10.0
104,Hand Foot Mouth,2013,Samut Prakan,51,12.0
105,Hand Foot Mouth,2013,Samut Prakan,52,16.0
106,Hand Foot Mouth,2013,Samut Prakan,53,8.0
107,Hand Foot Mouth,2013,Nonthaburi,1,11.0
108,Hand Foot Mouth,2013,Nonthaburi,2,13.0
109,Hand Foot Mouth,2013,Nonthaburi,3,8.0
110,Hand Foot Mouth,2013,Nonthaburi,4,15.0
111,Hand Foot Mouth,2013,Nonthaburi,5,13.0
112,Hand Foot Mouth,2013,Nonthaburi,6,17.0
113,Hand Foot Mouth,2013,Nonthaburi,7,12.0
114,Hand Foot Mouth,2013,Nonthaburi,8,9.0
115,Hand Foot Mouth,2013,Nonthaburi,9,9.0
116,Hand Foot Mouth,2013,Nonthaburi,10,5.0
117,Hand Foot Mouth,2013,Nonthaburi,11,6.0
118,Hand Foot Mouth,2013,Nonthaburi,12,6.0
119,Hand Foot Mouth,2013,Nonthaburi,13,4.0
